French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
pouvoir,power
sois,be
matin,morning
tellement,so much
point,point
venu,came
suite,after
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
